,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
37,1,"[[-0.29335192504143354, -0.08406064232191979, 0.9628721561171825], [0.05248842713346288, 1.0045970737185628, 0.10516059227406994], [-0.9657564829588338, 0.08137562257439351, -0.28829297283372646]]",0.03833198919892311,0.021354620894049936,-0.0015750973832118682,0.004076346620521799
38,22,"[[-0.3026457975179377, -0.10823389454969394, 0.9575619433996492], [0.3860422094696545, 0.9067678954079984, 0.22629480334733304], [-0.8836645158326017, 0.4346183412646396, -0.23073331322258311]]",0.11233922839164734,0.0006718725639744336,0.005009419371175702,0.003293255620005278
39,69,"[[-0.32916585408108484, -0.08935829534486413, 0.9507357791671446], [0.903390795557176, 0.2977352244937922, 0.34240306016492833], [-0.3113300207732418, 0.9624260539055753, -0.016397756351266182]]",0.05306359380483627,-0.5054897142550544,1.6004030245848582,-0.028616279402512518
40,74,"[[-0.24559868916490485, -0.07743754574773687, 0.9766859532327867], [0.9531457772598608, 0.21641661019780523, 0.25835326774185197], [-0.22987758789266818, 0.9849339724101919, 0.021330813811066843]]",0.04674235358834267,0.0017483777088501923,-0.0020366260834972848,0.0022327775145572705
41,6,"[[-0.29390441716271776, -0.0883749766677733, 0.9623148353357545], [0.13574353764824934, 0.9932067164404859, 0.1342256964279075], [-0.9574369529726342, 0.1692013933573921, -0.27791540058051784]]",0.05066988617181778,0.0009840053472426188,5.2735672670049534e-05,-4.3460045889549695e-05
42,82,"[[-0.2847029210686881, -0.08939293327182374, 0.9649824970438374], [0.9657850858267775, 0.06383016635919267, 0.2922270636472439], [-0.08780434114632661, 1.0054067471708021, 0.06849550998703609]]",0.07160907983779907,-0.009869336397512099,0.018811958954612344,0.021170988796204486
43,26,"[[-0.2897554438327147, -0.08142518881446009, 0.9641871462478706], [0.4562518291391592, 0.8768277528773919, 0.21297846035226548], [-0.8540382713138668, 0.4974473689197863, -0.21508361870252107]]",0.09399542212486267,0.025454221228717752,-0.014176745408761189,-0.002156729828092471
44,75,"[[-0.3283380567278226, -0.09697831574028455, 0.950274699616532], [0.9308138881633774, 0.19490544706097598, 0.3430450929995494], [-0.21720051610126054, 0.9876648114178666, 0.02684636554952596]]",0.10745367407798767,-0.0014786375071132543,0.008221575205792647,0.0006647869900803728
45,81,"[[-0.3144684858091212, -0.08951410330236406, 0.9556859256624145], [0.9533550591067682, 0.09216283479362215, 0.3237441759802134], [-0.1168736842252097, 1.0031869709010979, 0.05675663825148624]]",0.0980592891573906,2.957698576080792e-06,0.005251334887636705,-0.0007570320359636892
46,71,"[[-0.3814366825892903, -0.10443072977706355, 0.9294317924220268], [0.8955703127922084, 0.24937659858255629, 0.3972153528406732], [-0.2714019163191112, 0.9745645029310318, -0.0008692818424208047]]",0.09237449616193771,-0.004184855852863163,0.007336428044122666,0.0019211793094760996
47,4,"[[-0.293992925203053, -0.08375748194562842, 0.9626972652362782], [0.10594830047194603, 0.998572949258379, 0.1207563908888387], [-0.9611656114950117, 0.13692975323964254, -0.2826949929398537]]",0.07899461686611176,0.059162885500511936,-0.007964672720872853,0.021058636480254175
48,12,"[[-0.2926721832751069, -0.08301191870352483, 0.963165544288702], [0.23243308794090503, 0.971784766317089, 0.15603655277220352], [-0.9390542176565607, 0.26767969254303464, -0.2631435763889283]]",0.027908243238925934,0.0006446077775040646,0.003364117815947104,0.00045911162782042954
49,76,"[[-0.28498154793062985, -0.08909096259685595, 0.9649290122464029], [0.952562732093964, 0.16146772059019726, 0.29773725406050094], [-0.18138169688471606, 0.9944398541525505, 0.039359020039834686]]",0.06966332346200943,0.0004053097880534415,-0.0020160864236273206,-3.3224094331245986e-05
50,41,"[[-0.3274974390879503, -0.1265791155169779, 0.9470795318925473], [0.6445353379416546, 0.7102254172790803, 0.3197012469319789], [-0.7062094181242079, 0.7087602717198846, -0.14943102218191665]]",0.08119212090969086,0.020575413903637145,-0.01929824258151029,0.00454970704669181
51,21,"[[-0.2963608685074022, -0.09538729691895093, 0.9608865058008623], [0.38229605951083134, 0.9122191867879983, 0.2102377119809008], [-0.8874135760549874, 0.4262004110459555, -0.23198873282032845]]",0.06946796923875809,0.0006532870516287198,-3.311101288206624e-05,0.00012142259699176347
52,79,"[[-0.2958428914817059, -0.09101218485335166, 0.9614733296911564], [0.9541206918511991, 0.13141825784454067, 0.30746425227060253], [-0.15373379297724074, 0.9986623514679366, 0.048422349229573634]]",0.07985644787549973,-0.06783735492923716,0.10432774144765249,-0.07181976774889844
